Country,Country Code,Exporter Degree,Importer Degree,Eigenvector Centrality In,Eigenvector Centrality Out,Closeness Centrality,Degree Centrality
Syria,760,5268,12984,0.0036980215041582222,0.0038278010253771735,0.6032171581769437,18252
Congo,178,1359,16652,0.0036096066523573643,0.0036328798290713336,0.6016042780748663,18011
Papua New Guinea,598,1463,15771,0.003000197894815362,0.003191068894416343,0.5798969072164949,17234
Mali,466,2021,15113,0.0035614673332246835,0.003796846297624684,0.5952380952380952,17134
Libya,434,1214,15486,0.0036798869010309693,0.003101027293485503,0.6048387096774194,16700
Turkmenistan,795,1272,15315,0.0028909970252951524,0.0033852481877120707,0.5754475703324808,16587
Gabon,266,1664,14864,0.0037933394006358367,0.003358298048833818,0.6048387096774194,16528
Seychelles,690,1431,15073,0.0035729279796614505,0.0037970688155000484,0.598404255319149,16504
New Caledonia,540,1393,15064,0.0031151272288496485,0.0029386167945680284,0.582901554404145,16457
Zimbabwe,716,3515,12814,0.003472963661086705,0.003729823424622971,0.5952380952380952,16329
Afghanistan,4,2955,13219,0.004205736310315204,0.003437658307399162,0.6064690026954178,16174
Haiti,332,2626,12985,0.0034633906819254855,0.003733869855903242,0.5952380952380952,15611
Botswana,72,4395,10910,0.0031890560918824635,0.003165041164161981,0.5859375,15305
Mauritania,478,1163,13799,0.003598616028468551,0.003582258132308185,0.6,14962
Togo,768,1568,12983,0.0037228335112468357,0.0030623566789414725,0.6032171581769437,14551
Greenland,304,1052,13424,0.0031729760210591736,0.004266020586629646,0.6944444444444444,14476
French Polynesia,258,1121,13352,0.0030016830341240567,0.0027118914384071818,0.5784061696658098,14473
Bahamas,44,1581,12787,0.0035162811309195673,0.003749390750673725,0.596816976127321,14368
Curaçao,531,1365,12720,0.0033261965552511485,0.0029191648545251006,0.5905511811023622,14085
Suriname,740,1826,11766,0.0034066166994405132,0.0034981112953252533,0.5936675461741425,13592
Sierra Leone,694,3380,9937,0.0037171991414824902,0.0036780955345379293,0.6064690026954178,13317
Tajikistan,762,1501,11472,0.003115142205264732,0.0033759093103940064,0.582901554404145,12973
Barbados,52,1436,11336,0.003222142946227294,0.003946541376195909,0.5859375,12772
Lesotho,426,3203,9365,0.0034324698212372926,0.0041448125555088085,0.6097560975609756,12568
Malawi,454,1583,10794,0.003310788138680008,0.003838701683702296,0.5905511811023622,12377
Liberia,430,663,11315,0.003680183249065385,0.0029057765431893144,0.6032171581769437,11978
Benin,204,1021,10825,0.0036452685804086882,0.0030979844153009462,0.6016042780748663,11846
Aruba,533,1487,10253,0.0030120558240795438,0.002387223725802748,0.5798969072164949,11740
Guyana,328,858,10348,0.003381126263221141,0.003330073313051496,0.587467362924282,11206
Yemen,887,950,10204,0.003559257510742002,0.0030035931297147647,0.598404255319149,11154
Djibouti,262,598,10358,0.0033946040825972865,0.00261800398642749,0.5921052631578947,10956
Rwanda,646,1015,9531,0.003299713086583911,0.003462730566546336,0.5921052631578947,10546
